method,alpha,n_seeds,final_acc_mean,final_acc_std,acc_last20_mean,acc_last20_std,best_acc_mean,energy_J_mean,energy_J_std,walltime_s_mean,walltime_s_std
fedavg,0.1,2,0.603938,0.034938,0.585209,0.021434,0.629188,646374.82,26603.70,25270.62,3516.71
fedavg,1.0,2,0.736438,0.000063,0.736219,0.000000,0.739812,549237.76,2470.62,13183.98,442.54
fedcs_dc_budget,0.1,2,0.490250,0.050625,0.503566,0.014384,0.557813,427023.64,17953.02,7431.68,387.78
fedcs_dc_budget,1.0,2,0.691812,0.004187,0.689675,0.004869,0.698000,547038.01,17347.45,8105.86,267.00
fedcs_dc_fixed,0.1,2,0.507437,0.025563,0.492994,0.010356,0.527937,458884.04,9760.12,14349.77,303.72
fedcs_dc_fixed,1.0,2,0.650875,0.002500,0.649787,0.002994,0.656562,432709.47,2544.57,8765.50,331.99
fedcs_dc_adaptive,0.1,2,0.516625,0.003250,0.500819,0.005925,0.531562,416730.74,93.36,12533.28,325.82
fedcs_dc_adaptive,1.0,2,0.623188,0.003687,0.625453,0.002041,0.631938,403209.31,3190.27,7856.20,293.01
fedcs_random_fixed,0.1,2,0.549438,0.007688,0.524228,0.000009,0.563250,436370.55,23475.81,7596.93,524.01
fedcs_random_fixed,1.0,2,0.700375,0.005750,0.699213,0.007788,0.703938,546615.43,17832.97,8072.89,253.78
fedcs_dc_adaptive_floor,0.1,2,0.481250,0.003500,0.481919,0.007975,0.508437,401317.90,1684.80,11789.26,872.89
fedcs_dc_adaptive_floor,1.0,2,0.637563,0.012063,0.634981,0.013150,0.640125,394384.37,5093.36,7679.64,241.41
