experiment,pretrain,seed,final_accuracy,energy_total_mJ
fedcs_static_pretrain_10_50_90_dirichlet_0.1_prune_0.2_0.5,10,2,0.233375,3974512763.569920
fedcs_static_pretrain_10_50_90_dirichlet_0.1_prune_0.2_0.5,10,3,0.223000,5126555987.786228
fedcs_static_pretrain_10_50_90_dirichlet_0.1_prune_0.2_0.5,10,4,0.319125,4760492984.065505
fedcs_static_pretrain_10_50_90_dirichlet_0.1_prune_0.2_0.5,50,2,0.231375,4992675378.128881
fedcs_static_pretrain_10_50_90_dirichlet_0.1_prune_0.2_0.5,50,3,0.337250,6667490432.794765
fedcs_static_pretrain_10_50_90_dirichlet_0.1_prune_0.2_0.5,50,4,0.310875,6210062545.440663
fedcs_static_pretrain_10_50_90_dirichlet_0.1_prune_0.2_0.5,90,2,0.308000,6741994914.408060
fedcs_static_pretrain_10_50_90_dirichlet_0.1_prune_0.2_0.5,90,3,0.419000,8683500420.136463
fedcs_static_pretrain_10_50_90_dirichlet_0.1_prune_0.2_0.5,90,4,0.267500,7466895650.674700
fedcs_static_pretrain_10_50_90_dirichlet_0.1_prune_0.5_0.8,10,2,0.274875,3182151341.696668
fedcs_static_pretrain_10_50_90_dirichlet_0.1_prune_0.5_0.8,10,3,0.228000,2948329643.896248
fedcs_static_pretrain_10_50_90_dirichlet_0.1_prune_0.5_0.8,50,2,0.381625,5716356618.589724
fedcs_static_pretrain_10_50_90_dirichlet_0.1_prune_0.5_0.8,50,3,0.343625,5871555330.794746
fedcs_static_pretrain_10_50_90_dirichlet_0.1_prune_0.5_0.8,90,2,0.249125,8195569153.834927
fedcs_static_pretrain_10_50_90_dirichlet_0.1_prune_0.5_0.8,90,3,0.351500,7695059597.159167
fedcs_static_pretrain_10_50_90_dirichlet_1.0,10,2,0.508625,5023407569.875525
fedcs_static_pretrain_10_50_90_dirichlet_1.0,10,3,0.522125,4866444434.554719
fedcs_static_pretrain_10_50_90_dirichlet_1.0,10,4,0.522500,4978207463.389711
fedcs_static_pretrain_10_50_90_dirichlet_1.0,50,2,0.587125,6127573910.137157
fedcs_static_pretrain_10_50_90_dirichlet_1.0,50,3,0.552375,6198549867.888371
fedcs_static_pretrain_10_50_90_dirichlet_1.0,50,4,0.570875,6169432469.454624
fedcs_static_pretrain_10_50_90_dirichlet_1.0,90,2,0.574875,7486503736.415877
fedcs_static_pretrain_10_50_90_dirichlet_1.0,90,3,0.589000,7370687694.484988
fedcs_static_pretrain_10_50_90_dirichlet_1.0,90,4,0.597500,7334795688.011454
